Dimension,Gflops,Seconds,Routine
40,4.413793103448277,0.000029,NaiveGemm
40,1.753424657534247,0.000073,DotsGemm
40,1.753424657534247,0.000073,AxPyGemm
40,1.7777777777777781,0.000072,AxPyGerGemm
40,11.636363636363638,0.000011,Kernel4x4Gemm
120,7.260504201680672,0.000476,NaiveGemm
120,1.8276044420941302,0.001891,DotsGemm
120,1.9242761692650334,0.001796,AxPyGemm
120,1.7614678899082568,0.001962,AxPyGerGemm
120,14.832618025751074,0.000233,Kernel4x4Gemm
200,5.799202609641174,0.002759,NaiveGemm
200,1.6833245660178855,0.009505,DotsGemm
200,1.9579050416054822,0.008172,AxPyGemm
200,1.4264063475082465,0.011217,AxPyGerGemm
200,12.317167051578137,0.001299,Kernel4x4Gemm
400,6.927156618681675,0.018478,NaiveGemm
400,1.5171629053669637,0.084368,DotsGemm
400,1.9852656068243504,0.064475,AxPyGemm
400,0.700253294746459,0.182791,AxPyGerGemm
400,12.203260558680523,0.010489,Kernel4x4Gemm
800,3.583426651735722,0.28576,NaiveGemm
800,0.7253876467333825,1.411659,DotsGemm
800,1.7511427745694397,0.584761,AxPyGemm
800,0.4027113802146011,2.542764,AxPyGerGemm
800,2.969596436484276,0.344828,Kernel4x4Gemm
